Model,Class,Precision,Recall,F1-Score,Support,Accuracy
SVM,hose_break,1.0,0.9798657718120806,0.9898305084745763,149.0,
SVM,normal_digging,0.9944954128440368,0.9872495446265938,0.9908592321755028,549.0,
SVM,normal_empty,1.0,1.0,1.0,166.0,
SVM,normal_full,0.9414893617021277,0.9833333333333333,0.9619565217391305,180.0,
SVM,overload,1.0,0.9977528089887641,0.9988751406074241,445.0,
SVM,Overall,0.9871969549092329,0.9896402917521543,0.9883042805993266,1489.0,0.9905977165883143
Random Forest,hose_break,1.0,0.9798657718120806,0.9898305084745763,149.0,
Random Forest,normal_digging,0.9963235294117647,0.9872495446265938,0.9917657822506862,549.0,
Random Forest,normal_empty,1.0,1.0,1.0,166.0,
Random Forest,normal_full,0.9417989417989417,0.9888888888888889,0.964769647696477,180.0,
Random Forest,overload,1.0,0.9977528089887641,0.9988751406074241,445.0,
Random Forest,Overall,0.9876244942421412,0.9907514028632655,0.9890482158058328,1489.0,0.9912693082605776
XGBoost,hose_break,1.0,0.9798657718120806,0.9898305084745763,149.0,
XGBoost,normal_digging,0.9926873857404022,0.9890710382513661,0.9908759124087592,549.0,
XGBoost,normal_empty,1.0,1.0,1.0,166.0,
XGBoost,normal_full,0.946236559139785,0.9777777777777777,0.9617486338797814,180.0,
XGBoost,overload,1.0,0.9977528089887641,0.9988751406074241,445.0,
XGBoost,Overall,0.9877847889760375,0.9888934793659978,0.9882660390741081,1489.0,0.9905977165883143
