pumpControl,pressure,state
71.0,179.0,normal_digging
71.0,190.0,normal_digging
69.0,178.0,normal_digging
73.0,185.0,normal_digging
69.0,183.0,normal_digging
69.0,176.0,normal_digging
70.0,166.0,normal_digging
66.0,175.0,normal_digging
67.0,182.0,normal_digging
68.0,169.0,normal_digging
73.0,178.0,normal_digging
70.0,169.0,normal_digging
68.0,180.0,normal_digging
67.0,182.0,normal_digging
68.0,177.0,normal_digging
68.0,193.0,normal_digging
69.0,172.0,normal_digging
71.0,171.0,normal_digging
70.0,165.0,normal_digging
67.0,181.0,normal_digging
71.0,181.0,normal_digging
69.0,177.0,normal_digging
66.0,174.0,normal_digging
69.0,187.0,normal_digging
70.0,167.0,normal_digging
70.0,177.0,normal_digging
68.0,184.0,normal_digging
72.0,186.0,normal_digging
68.0,177.0,normal_digging
70.0,187.0,normal_digging
59.0,158.0,normal_digging
58.0,152.0,normal_digging
61.0,168.0,normal_digging
59.0,166.0,normal_digging
60.0,155.0,normal_digging
60.0,169.0,normal_digging
59.0,170.0,normal_digging
55.0,165.0,normal_digging
85.0,217.0,normal_full
85.0,202.0,normal_full
84.0,223.0,normal_full
88.0,215.0,normal_full
82.0,215.0,normal_full
87.0,222.0,normal_full
83.0,224.0,normal_full
85.0,228.0,normal_full
83.0,217.0,normal_full
84.0,207.0,normal_full
85.0,222.0,normal_full
85.0,217.0,normal_full
81.0,216.0,normal_full
84.0,212.0,normal_full
84.0,223.0,normal_full
89.0,221.0,normal_full
85.0,219.0,normal_full
80.0,219.0,normal_full
85.0,241.0,normal_full
84.0,222.0,normal_full
84.0,209.0,normal_full
87.0,226.0,normal_full
87.0,211.0,normal_full
88.0,207.0,normal_full
86.0,239.0,normal_full
82.0,215.0,normal_full
60.0,156.0,normal_digging
57.0,160.0,normal_digging
58.0,163.0,normal_digging
58.0,169.0,normal_digging
58.0,157.0,normal_digging
61.0,152.0,normal_digging
60.0,168.0,normal_digging
57.0,161.0,normal_digging
60.0,165.0,normal_digging
57.0,151.0,normal_digging
60.0,161.0,normal_digging
60.0,162.0,normal_digging
58.0,161.0,normal_digging
60.0,155.0,normal_digging
63.0,163.0,normal_digging
57.0,164.0,normal_digging
58.0,165.0,normal_digging
62.0,154.0,normal_digging
61.0,162.0,normal_digging
61.0,172.0,normal_digging
59.0,155.0,normal_digging
58.0,154.0,normal_digging
59.0,162.0,normal_digging
60.0,165.0,normal_digging
50.0,148.0,normal_digging
49.0,155.0,normal_digging
50.0,135.0,normal_digging
48.0,142.0,normal_digging
49.0,143.0,normal_digging
50.0,139.0,normal_digging
