pumpControl,pressure,state
71,179,normal_digging
71,190,normal_digging
69,178,normal_digging
73,185,normal_digging
69,183,normal_digging
69,176,normal_digging
70,166,normal_digging
66,175,normal_digging
67,182,normal_digging
68,169,normal_digging
73,178,normal_digging
70,169,normal_digging
68,180,normal_digging
67,182,normal_digging
68,177,normal_digging
68,193,normal_digging
69,172,normal_digging
71,171,normal_digging
70,165,normal_digging
67,181,normal_digging
71,181,normal_digging
69,177,normal_digging
66,174,normal_digging
69,187,normal_digging
70,167,normal_digging
70,177,normal_digging
68,184,normal_digging
72,186,normal_digging
68,177,normal_digging
70,187,normal_digging
59,158,normal_digging
58,152,normal_digging
61,168,normal_digging
59,166,normal_digging
60,155,normal_digging
60,169,normal_digging
59,170,normal_digging
55,165,normal_digging
85,217,normal_full
85,202,normal_full
84,223,normal_full
88,215,normal_full
82,215,normal_full
87,222,normal_full
83,224,normal_full
85,228,normal_full
83,217,normal_full
84,207,normal_full
85,222,normal_full
85,217,normal_full
81,216,normal_full
84,212,normal_full
84,223,normal_full
89,221,normal_full
85,219,normal_full
80,219,normal_full
85,241,normal_full
84,222,normal_full
84,209,normal_full
87,226,normal_full
87,211,normal_full
88,207,normal_full
86,239,normal_full
82,215,normal_full
60,156,normal_digging
57,160,normal_digging
58,163,normal_digging
58,169,normal_digging
58,157,normal_digging
61,152,normal_digging
60,168,normal_digging
57,161,normal_digging
60,165,normal_digging
57,151,normal_digging
60,161,normal_digging
60,162,normal_digging
58,161,normal_digging
60,155,normal_digging
63,163,normal_digging
57,164,normal_digging
58,165,normal_digging
62,154,normal_digging
61,162,normal_digging
61,172,normal_digging
59,155,normal_digging
58,154,normal_digging
59,162,normal_digging
60,165,normal_digging
50,148,normal_digging
49,155,normal_digging
50,135,normal_digging
48,142,normal_digging
49,143,normal_digging
50,139,normal_digging
48,131,normal_digging
49,144,normal_digging
50,133,normal_digging
50,142,normal_digging
48,140,normal_digging
50,133,normal_digging
50,143,normal_digging
51,145,normal_digging
47,134,normal_digging
50,142,normal_digging
50,161,normal_digging
50,146,normal_digging
51,143,normal_digging
49,144,normal_digging
48,138,normal_digging
49,140,normal_digging
69,157,normal_digging
66,159,normal_digging
64,177,normal_digging
65,162,normal_digging
63,174,normal_digging
63,171,normal_digging
65,165,normal_digging
69,174,normal_digging
61,171,normal_digging
63,175,normal_digging
63,169,normal_digging
65,175,normal_digging
62,167,normal_digging
64,165,normal_digging
68,172,normal_digging
62,176,normal_digging
69,177,normal_digging
62,166,normal_digging
67,165,normal_digging
65,175,normal_digging
63,169,normal_digging
58,163,normal_digging
39,47,normal_empty
41,47,normal_empty
39,50,normal_empty
41,47,normal_empty
41,50,normal_empty
38,50,normal_empty
40,48,normal_empty
40,49,normal_empty
40,51,normal_empty
41,47,normal_empty
42,46,normal_empty
39,51,normal_empty
40,48,normal_empty
39,49,normal_empty
39,51,normal_empty
40,48,normal_empty
41,50,normal_empty
40,51,normal_empty
39,48,normal_empty
40,51,normal_empty
39,50,normal_empty
41,48,normal_empty
40,49,normal_empty
39,52,normal_empty
40,51,normal_empty
41,50,normal_empty
40,49,normal_empty
40,49,normal_empty
40,51,normal_empty
39,54,normal_empty
38,47,normal_empty
41,51,normal_empty
40,51,normal_empty
39,48,normal_empty
30,38,normal_empty
30,39,normal_empty
29,39,normal_empty
30,39,normal_empty
29,40,normal_empty
30,39,normal_empty
29,40,normal_empty
28,37,normal_empty
29,39,normal_empty
30,42,normal_empty
30,39,normal_empty
29,38,normal_empty
29,39,normal_empty
30,38,normal_empty
30,42,normal_empty
29,40,normal_empty
30,39,normal_empty
30,40,normal_empty
30,38,normal_empty
30,40,normal_empty
31,41,normal_empty
31,38,normal_empty
66,171,normal_digging
69,164,normal_digging
63,165,normal_digging
60,166,normal_digging
63,171,normal_digging
65,182,normal_digging
66,166,normal_digging
63,173,normal_digging
62,182,normal_digging
67,166,normal_digging
61,179,normal_digging
64,178,normal_digging
61,165,normal_digging
65,170,normal_digging
64,174,normal_digging
62,169,normal_digging
65,173,normal_digging
66,162,normal_digging
62,178,normal_digging
65,164,normal_digging
68,170,normal_digging
67,170,normal_digging
69,181,normal_digging
64,176,normal_digging
66,179,normal_digging
63,174,normal_digging
67,158,normal_digging
62,156,normal_digging
64,174,normal_digging
67,170,normal_digging
68,160,normal_digging
61,169,normal_digging
65,169,normal_digging
60,169,normal_digging
62,174,normal_digging
65,163,normal_digging
63,162,normal_digging
64,176,normal_digging
63,173,normal_digging
63,164,normal_digging
64,162,normal_digging
63,161,normal_digging
68,170,normal_digging
63,171,normal_digging
64,168,normal_digging
66,175,normal_digging
63,166,normal_digging
69,163,normal_digging
66,189,normal_digging
73,178,normal_digging
71,182,normal_digging
76,188,normal_digging
69,173,normal_digging
66,181,normal_digging
68,169,normal_digging
68,172,normal_digging
73,186,normal_digging
69,190,normal_digging
70,173,normal_digging
73,183,normal_digging
67,178,normal_digging
68,170,normal_digging
71,193,normal_digging
67,184,normal_digging
68,176,normal_digging
68,173,normal_digging
70,174,normal_digging
70,179,normal_digging
69,173,normal_digging
68,185,normal_digging
71,172,normal_digging
70,185,normal_digging
56,163,normal_digging
58,163,normal_digging
58,148,normal_digging
57,160,normal_digging
60,154,normal_digging
61,149,normal_digging
59,152,normal_digging
58,160,normal_digging
48,137,normal_digging
51,136,normal_digging
51,133,normal_digging
50,148,normal_digging
46,135,normal_digging
50,138,normal_digging
50,136,normal_digging
50,139,normal_digging
51,141,normal_digging
50,137,normal_digging
49,137,normal_digging
50,137,normal_digging
50,151,normal_digging
51,138,normal_digging
51,137,normal_digging
46,134,normal_digging
47,138,normal_digging
50,149,normal_digging
50,138,normal_digging
51,127,normal_digging
50,144,normal_digging
47,146,normal_digging
50,137,normal_digging
50,152,normal_digging
50,141,normal_digging
49,135,normal_digging
51,135,normal_digging
50,137,normal_digging
50,141,normal_digging
51,137,normal_digging
49,134,normal_digging
49,142,normal_digging
51,134,normal_digging
51,147,normal_digging
50,150,normal_digging
48,133,normal_digging
47,148,normal_digging
50,139,normal_digging
50,133,normal_digging
53,140,normal_digging
50,144,normal_digging
50,141,normal_digging
48,142,normal_digging
52,147,normal_digging
