pumpControl,pressure,state
37,22,normal
15,16,normal
5,7,normal
71,74,normal
2,0,normal
79,84,overload
30,0,normal
29,35,normal
61,50,normal
37,25,normal
46,35,normal
51,51,normal
88,0,hose_break
61,48,normal
9,17,normal
69,51,normal
50,43,normal
3,0,normal
66,63,normal
31,55,normal
18,28,normal
97,89,normal
98,1,hose_break
19,25,normal
4,0,normal
82,82,overload
83,61,normal
54,39,normal
14,18,normal
93,100,overload
77,67,normal
11,3,normal
87,63,normal
6,16,normal
83,97,overload
64,48,normal
89,69,normal
72,64,normal
94,100,overload
49,47,normal
52,42,normal
10,8,normal
3,0,normal
51,56,normal
91,76,normal
94,95,overload
23,18,normal
16,10,normal
93,88,normal
97,100,overload
81,86,normal
90,82,normal
32,26,normal
86,92,overload
82,47,normal
22,23,normal
12,15,normal
83,90,overload
52,37,normal
100,19,hose_break
25,36,normal
50,34,normal
3,0,normal
61,48,normal
82,90,overload
91,76,normal
49,39,normal
100,4,hose_break
67,52,normal
73,73,normal
84,99,overload
54,62,normal
9,3,normal
75,0,hose_break
59,62,normal
68,61,normal
22,16,normal
65,63,normal
39,25,normal
94,80,normal
11,1,normal
93,80,normal
66,64,normal
82,87,normal
24,46,normal
77,80,overload
35,43,normal
73,71,normal
8,19,normal
16,16,normal
0,8,normal
10,10,normal
69,49,normal
90,4,hose_break
93,98,overload
75,56,normal
65,62,normal
89,100,overload
9,0,normal
24,13,normal
98,96,normal
91,98,overload
80,99,normal
87,96,overload
19,7,normal
75,87,overload
65,57,normal
97,94,normal
99,17,hose_break
79,7,hose_break
97,100,overload
56,45,normal
99,13,hose_break
57,53,normal
99,81,normal
14,23,normal
74,67,normal
70,53,normal
29,39,normal
81,75,normal
98,100,overload
51,60,normal
65,58,normal
70,65,normal
34,32,normal
84,93,overload
3,0,normal
47,24,normal
59,56,normal
3,0,normal
52,43,normal
77,74,normal
8,0,normal
5,28,normal
91,100,overload
73,65,normal
32,33,normal
95,100,overload
7,0,normal
70,19,hose_break
84,67,normal
79,95,overload
15,16,normal
72,48,normal
66,63,normal
61,71,normal
42,30,normal
76,55,normal
1,0,normal
9,26,normal
49,31,normal
43,37,normal
85,100,overload
76,90,overload
81,12,hose_break
50,49,normal
16,23,normal
7,4,normal
59,53,normal
99,99,overload
91,100,overload
46,48,normal
85,93,overload
97,82,normal
32,30,normal
85,70,normal
70,59,normal
63,60,normal
81,78,normal
82,92,overload
95,100,overload
100,72,normal
78,57,normal
34,46,normal
76,64,normal
10,9,normal
83,84,normal
32,26,normal
75,86,overload
91,79,normal
95,79,normal
99,11,hose_break
63,38,normal
83,89,overload
67,68,normal
79,77,normal
9,1,normal
87,8,hose_break
98,100,overload
35,37,normal
10,22,normal
8,2,normal
83,76,normal
71,75,normal
95,80,normal
100,100,overload
77,91,overload
78,49,normal
98,100,overload
77,83,overload
47,42,normal
5,17,normal
58,59,normal
97,72,normal
97,100,overload
80,88,overload
100,99,normal
7,11,normal
52,47,normal
63,52,normal
89,11,hose_break
91,100,normal
4,2,normal
62,65,normal
82,89,overload
35,17,normal
58,33,normal
96,100,overload
69,69,normal
42,52,normal
94,83,normal
81,70,normal
99,92,normal
38,23,normal
100,100,overload
87,97,overload
41,35,normal
87,77,normal
82,88,normal
99,100,overload
85,73,normal
13,0,normal
96,72,normal
67,65,normal
91,95,overload
67,57,normal
52,47,normal
97,100,overload
89,100,overload
40,37,normal
13,26,normal
21,27,normal
13,0,normal
86,100,overload
91,83,normal
79,49,normal
40,45,normal
95,88,normal
78,85,overload
26,31,normal
46,41,normal
33,33,normal
63,55,normal
13,10,normal
12,0,normal
34,35,normal
90,100,normal
75,3,hose_break
4,0,normal
17,7,normal
8,1,normal
12,0,normal
36,30,normal
50,43,normal
95,100,overload
63,65,normal
75,61,normal
18,10,normal
87,89,overload
62,49,normal
93,0,hose_break
25,0,normal
93,100,overload
53,57,normal
77,92,overload
24,0,normal
27,22,normal
32,28,normal
21,11,normal
89,76,normal
59,63,normal
50,51,normal
77,96,overload
94,100,overload
43,34,normal
84,89,overload
91,90,overload
99,98,normal
88,4,hose_break
10,4,normal
16,8,normal
18,7,normal
90,75,normal
8,0,normal
99,95,normal
11,13,normal
87,77,normal
82,66,normal
92,98,overload
93,100,normal
28,41,normal
95,100,overload
42,27,normal
51,41,normal
61,51,normal
29,14,normal
48,45,normal
53,46,normal
13,7,normal
76,80,overload
68,68,normal
76,61,normal
41,61,normal
35,33,normal
18,17,normal
6,10,normal
96,100,overload
14,6,normal
16,20,normal
79,89,overload
52,57,normal
84,91,overload
82,83,normal
86,91,overload
30,4,normal
94,95,overload
90,81,normal
81,10,hose_break
91,73,normal
99,100,overload
63,47,normal
80,67,normal
62,65,normal
79,71,normal
15,2,normal
94,99,overload
3,17,normal
88,83,normal
34,43,normal
15,9,normal
23,30,normal
91,100,overload
93,94,overload
83,92,overload
18,17,normal
85,97,overload
46,43,normal
61,81,normal
1,18,normal
93,89,normal
71,66,normal
90,93,overload
42,39,normal
93,84,normal
45,65,normal
40,41,normal
5,15,normal
0,0,normal
83,95,overload
98,96,overload
84,98,overload
84,4,hose_break
45,32,normal
14,12,normal
85,86,overload
92,93,normal
63,38,normal
1,0,normal
97,92,normal
15,5,normal
100,88,normal
50,38,normal
75,68,normal
21,17,normal
19,18,normal
3,28,normal
6,0,normal
78,84,normal
44,13,normal
40,24,normal
18,18,normal
87,76,normal
27,29,normal
65,54,normal
15,12,normal
72,63,normal
22,20,normal
81,89,overload
75,13,hose_break
24,20,normal
10,17,normal
86,67,normal
96,100,overload
80,82,overload
82,81,overload
98,100,overload
82,61,normal
38,26,normal
90,100,overload
85,86,overload
55,31,normal
95,80,normal
77,79,normal
94,8,hose_break
2,1,normal
81,99,overload
81,92,overload
78,80,overload
27,25,normal
1,0,normal
55,55,normal
65,53,normal
75,85,overload
13,27,normal
67,76,normal
17,13,normal
84,96,overload
52,43,normal
60,55,normal
24,6,normal
35,23,normal
72,70,normal
48,25,normal
67,61,normal
21,20,normal
75,85,overload
5,0,normal
50,28,normal
77,79,normal
10,10,normal
50,41,normal
92,93,overload
82,69,normal
80,61,normal
88,7,hose_break
9,17,normal
92,69,normal
89,96,overload
88,87,normal
66,65,normal
69,57,normal
49,50,normal
22,27,normal
3,4,normal
70,67,normal
98,86,normal
95,96,normal
96,6,hose_break
83,73,normal
3,0,normal
12,15,normal
7,0,normal
73,78,normal
76,85,overload
79,51,normal
32,37,normal
62,58,normal
81,92,overload
95,100,overload
100,100,normal
40,29,normal
87,100,overload
99,92,normal
77,52,normal
